,cbg,Si
0,10730059033,0.12719919025783705
1,10730059031,0.18200351402533313
2,10730059053,0.175770082414271
3,10730059051,0.18733873887442398
4,10730057023,0.2967743456355165
5,10730124021,0.1481341348615695
6,10730124022,0.07540653320327324
7,10730106023,0.10107339488244461
8,10730124023,0.22649860503121325
9,10730124031,0.22666986326448169
10,10730125003,0.21023612681602222
11,10730001005,0.11944571907385328
12,10730001003,0.20895743428516622
13,10730003001,0.2041994041309928
14,10730003002,0.21348356020835385
15,10730003003,0.18254404204472421
16,10730004001,0.08778274151578815
17,10730004002,0.20705153459669395
18,10730004003,0.29616928013376925
19,10730004004,0.1593812239441281
20,10730059052,0.17165782771066787
21,10730059071,0.1718982221501865
22,10730059082,0.05895262366167038
23,10730059083,0.17996702941300527
24,10730125001,0.21852576162403925
25,10730125004,0.03125495728213086
26,10730126021,0.2959091254962606
27,10730004005,0.07013340952572106
28,10730005001,0.11988252996100973
29,10730005003,0.13499443788555418
30,10730007003,0.3726958707780188
31,10730007002,0.2712783216327431
32,10730008001,0.17244512830682304
33,10730059081,0.12700221583417004
34,10730100012,0.19084097296485442
35,10730100014,0.18175112338982205
36,10730100022,0.25393776767317056
37,10730100023,0.15659961082461393
38,10730126022,0.2867124075836678
39,10730127014,0.3554897885866697
40,10730127013,0.19081666892288965
41,10730128022,0.36433403364782674
42,10730141024,0.33576543019091176
43,10730008002,0.18823898969262454
44,10730008005,0.11415825972413726
45,10730008004,0.1090107797727063
46,10730011001,0.23100560690383123
47,10730011002,0.1208357198609732
48,10730011004,0.19056347162024806
49,10730011005,0.19624628285047319
50,10730100024,0.10397665026118603
51,10730101001,0.4359204515420063
52,10730102002,0.34310201373637056
53,10730102003,0.20759855372608166
54,10730103011,0.15064047028914407
55,10730103012,0.10024469798302162
56,10730104015,0.1649101807705586
57,10730129101,0.40635815479162274
58,10730129052,0.37578443416528184
59,10730011003,0.07333170954602702
60,10730012001,0.1621233012120056
61,10730012002,0.2741206116782791
62,10730012004,
63,10730014001,0.19769614166425137
64,10730014003,0.10947944958529465
65,10730014002,0.22976315690824758
66,10730015004,0.1410111423059644
67,10730015001,
68,10730104011,0.1445729761037235
69,10730104012,0.1898296877990854
70,10730104014,0.2227350238696751
71,10730104013,0.1890803341503005
72,10730104021,0.18195418603782323
73,10730105001,0.22180984803205464
74,10730105002,0.35797520266172234
75,10730105003,
76,10730106021,0.22700303457304272
77,10730106024,0.3562440631362825
78,10730106025,0.12667492009983322
79,10730020003,0.3719063278090228
80,10730129071,0.378855689191231
81,10730130021,0.22304736897516508
82,10730015003,0.41381852046706885
83,10730016003,0.1455972343533161
84,10730019022,0.08388506164734257
85,10730019023,0.06330730501022037
86,10730020001,0.1343981965434083
87,10730132002,0.21542464135914696
88,10730106026,0.20686600367621516
89,10730106022,0.17993427072946494
90,10730106031,0.227665961326399
91,10730107021,0.3341352530930262
92,10730107022,0.30664346630754596
93,10730107023,0.46830514726626193
94,10730107031,0.35514630316297013
95,10730130022,0.1659726249891494
96,10730131002,0.23934020324674354
97,10730131003,0.13911581667269116
98,10730030023,0.34778093396172227
99,10730133003,0.1475673952481963
100,10730134002,0.10755942902028245
101,10730134004,0.23700924434049303
102,10730021001,0.0647247029177839
103,10730021002,0.15997757091521664
104,10730022001,0.25140102247548396
105,10730023032,0.09015431426909672
106,10730023033,0.27178913053008025
107,10730023051,0.31509219464270877
108,10730023063,0.5124451820301342
109,10730107041,0.26581111077073666
110,10730107042,0.2982909965087939
111,10730107051,0.34167136716946056
112,10730107061,0.25470224485706117
113,10730108011,0.42546050975415983
114,10730108012,0.4789521884505186
115,10730134001,0.12159636235621538
116,10730134003,0.2792371103860682
117,10730136012,0.20937353212665757
118,10730136013,0.19939724010540574
119,10730136014,0.12874052689126914
120,10730139011,0.13875870760111328
121,10730024002,0.2277142510480999
122,10730024004,0.210824829493116
123,10730024006,0.07051510210851794
124,10730023061,0.5294979866395427
125,10730027002,0.17015829716111486
126,10730108051,0.4081629503313573
127,10730109001,0.12298018505067645
128,10730109003,0.1409306439086442
129,10730109005,0.09629030789172072
130,10730139021,0.21910325145060053
131,10730139022,0.23387833781087541
132,10730141022,0.25478130446251024
133,10730141041,0.2340437340730423
134,10730029001,0.22631670748889668
135,10730029002,0.3042086381827382
136,10730030011,0.14956865157949706
137,10730030012,0.1120251235241749
138,10730030013,0.24544346901500497
139,10730030021,0.03003164193886589
140,10730030022,0.11477338414141539
141,10730031001,0.09560745935039339
142,10730031002,
143,10730031003,0.21095564907917952
144,10730031004,0.2422027832267054
145,10730109006,0.23308167405276103
146,10730109007,0.12655033995178516
147,10730109004,0.16602587061380267
148,10730111041,0.15443851801226288
149,10730112071,0.14806203840903193
150,10730141052,0.16505878779236594
151,10730143011,0.13261975061885062
152,10730143012,0.10230706920985455
153,10730031005,0.4144023546537488
154,10730032001,0.2133491665358648
155,10730033001,0.06801450941528131
156,10730033002,0.2350962505551594
157,10730034001,0.3163599820434636
158,10730034002,0.1357623951436149
159,10730035002,0.06787538272924137
160,10730035003,0.19759276595594924
161,10730036001,0.20903979229697273
162,10730036003,0.13095140617467904
163,10730112072,0.18046362739591848
164,10730112091,0.15384603549097056
165,10730112092,0.20757607715797013
166,10730038032,0.12942089594226086
167,10730144041,0.3021864398232864
168,10730144092,0.342815330324044
169,10730036004,0.1231555099672308
170,10730036006,0.3228335203400723
171,10730037001,0.2595833168700833
172,10730037002,0.19373434378051752
173,10730037003,0.23207266356245843
174,10730037004,0.22742667344964412
175,10730038022,0.057066236708401274
176,10730038023,0.16557539026173773
177,10730038033,0.14372580251006847
178,10730115003,0.1928400360070352
179,10730117031,0.24558333306454144
180,10730117032,0.16831106570044635
181,10730038034,0.12782716788594858
182,10730039001,0.13387830660565267
183,10730040001,0.14641714626887828
184,11170303361,0.3728938091874743
185,10210603001,0.3079681032006676
186,10210604023,0.2617988016768503
187,11170303371,0.3698155939473563
188,11170303043,0.373293975846398
189,11170303032,0.4114147071190821
190,11170303042,0.3858404250081844
191,11170303034,0.37733695275330625
192,11170303033,0.3905071655575816
193,11170303303,0.40914820994692197
194,11170303031,0.45187209144716595
195,11170303053,0.4062765141158287
196,11170303041,0.4046458558728582
197,11170306071,0.33497840894762243
198,11170303203,0.30028836087154265
199,11170303061,0.37121385049052524
200,11170303151,0.2210809823945551
201,11170303153,0.29678084671036564
202,11170303301,0.4275490858637006
203,11170307032,0.25437260031343856
204,11170307042,0.31925402975627515
205,11170303311,0.42403747816714743
206,11170307031,0.21181376202774338
207,11170303341,0.31983711495559286
208,10730111074,0.2827184224958176
209,10730111084,0.25461047061063535
210,10730051013,0.23678136732559546
211,10730051011,
212,10730051031,0.1763716811892552
213,10730049022,0.14759493924858152
214,10730110014,0.2249987118364392
215,10730129131,0.20201509416667798
216,10730129084,0.20225167658250234
217,10730144081,0.2659258327307873
218,10730144043,0.3616102814144265
219,10730129153,0.30717548597301486
220,10730144051,0.27534363661755706
221,10730144101,0.34344024782982396
222,10730144121,0.3380599346590212
223,10730110013,0.23949428219348126
224,10730047013,0.17453592945755517
225,10730108053,0.2299801705182457
226,10730048001,0.4277763376610747
227,10730108013,0.3601518190126788
228,10730108015,0.4689157105471407
229,10730049011,0.187941598928283
230,10730144133,0.36493884970152746
231,10730131004,0.06633463407353075
232,10730107011,0.32352855638504285
233,10730117054,0.26533560670062495
